city_ascii,county_name,county_fips,state_id,metfips,metarea
Buckley,Iroquois,17075,IL,NA,NA
Laurel,Franklin,18047,IN,17140,"Cincinnati, OH-KY-IN (Metropolitan Statistical Area)"
Proctorville,Lawrence,39087,OH,26580,"Huntington-Ashland, WV-KY-OH (Metropolitan Statistical Area)"
Alexandria,Licking,39089,OH,18140,"Columbus, OH (Metropolitan Statistical Area)"
Alba,Jasper,29097,MO,27900,"Joplin, MO (Metropolitan Statistical Area)"
Sunrise Beach,Camden,29029,MO,NA,NA
McClellanville,Charleston,45019,SC,16700,"Charleston-North Charleston, SC (Metropolitan Statistical Area)"
Johnson Siding,Pennington,46103,SD,39660,"Rapid City, SD (Metropolitan Statistical Area)"
Soldiers Grove,Crawford,55023,WI,NA,NA
Thorntonville,Ward,48475,TX,NA,NA
Snook,Burleson,48051,TX,17780,"College Station-Bryan, TX (Metropolitan Statistical Area)"
Mattawana,Mifflin,42087,PA,NA,NA
Chacra,Garfield,08045,CO,NA,NA
Los Berros,San Luis Obispo,06079,CA,42020,"San Luis Obispo-Paso Robles, CA (Metropolitan Statistical Area)"
Madison,Monroe,29137,MO,NA,NA
Union,Monroe,54063,WV,NA,NA
Weston,Collin,48085,TX,19100,"Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)"
Bassett,Rock,31149,NE,NA,NA
Hay Springs,Sheridan,31161,NE,NA,NA
Castleberry,Conecuh,01035,AL,NA,NA
Cadwell,Laurens,13175,GA,NA,NA
Achille,Bryan,40013,OK,NA,NA
Lena,Oconto,55083,WI,24580,"Green Bay, WI (Metropolitan Statistical Area)"
Paradise Heights,Orange,12095,FL,36740,"Orlando-Kissimmee-Sanford, FL (Metropolitan Statistical Area)"
West Alto Bonito,Starr,48427,TX,NA,NA
Texline,Dallam,48111,TX,NA,NA
Roper,Washington,37187,NC,NA,NA
Saxtons River,Windham,50025,VT,NA,NA
Mark,Putnam,17155,IL,NA,NA
Stewart,McLeod,27085,MN,NA,NA
Gilbertsville,Marshall,21157,KY,NA,NA
